Name,Date,Rating,Title,Content
Alex,2025-02-23T12:18:48.000Z,5,Fantastic gym,"Machines are great, wide variety of machines, benches, machine bar attachments etc, although there could be better air flow (windows or ac)"
Gef,2025-02-23T10:36:31.000Z,3,Required a one day pass,Required a one day pass on the spare of the moment but as I'm already a member it would not work online until I changed my details which was disappointing 😕. Getting a one day pass to another gym location seems to require two days notice on Facebook for a small charge but did not specify what that was.Not very flexible for a gym outfit that sells itself as flexible.
customer,2025-02-23T06:15:48.000Z,2,I'm still not happy with your CEO's…,"I'm still not happy with your CEO's support of Israel and/or genocide, which is why I quit my Loughborough membership. But this is the only affordable and accessible gym in my area."
Dean,2025-02-23T03:46:25.000Z,5,Pure gym membership,"Extremely simple and straightforward to join, took literally a couple of minutes."
Brian Devlin,2025-02-23T02:36:08.000Z,5,Joining up was easy an very easy to…,Joining up was easy an very easy to understand. Nothing complicated just straight forward.
Rashpal Bhullar,2025-02-23T00:22:53.000Z,5,It was amazing,It was amazing
customer,2025-02-22T23:07:14.000Z,5,It’s really good and friendly in there,It’s really good and friendly in there. The only thing is the doors for the entrance sometimes get stuck.
customer,2025-02-22T22:39:44.000Z,5,Quick and easy sign up,Quick and easy sign up
George Mcfarlane,2025-02-22T22:13:30.000Z,5,Second to none,The Customer service is second to none with this company.
Amanda,2025-02-22T21:42:55.000Z,1,Got a email saying that i could join up…,Got a email saying that i could join up with no fee no pin was sent through my email so had to pay the joining fee to activate my old account
Saeedeh,2025-02-22T20:28:13.000Z,5,Very good and I want to come there more.,Very good and I want to come there more.
Collette H,2025-02-22T20:03:30.000Z,5,I love Pure Gym Denton!!!!! Zero gym fear!!!,"I loved my first visit to the gym after being soooo nervous and apprehensive.  Thanks to my PT partner helping me to get familiar with chosen machines, I am looking forward to my next visit and may even contemplate taking up full membership one day!!!!!"
Joe Mullen,2025-02-22T19:07:37.000Z,4,not too busy and cheap,N/A
Steven Ward,2025-02-22T18:57:32.000Z,5,Amazing joining experience.,N/A
Aruthy Mahalingam,2025-02-22T18:44:08.000Z,5,SK helped me understand the PT process…,SK helped me understand the PT process thoroughly - thanks for the informative session.
Babs S,2025-02-22T18:41:31.000Z,5,Very easy to join!,"It was so easy to join! Once I had paid, I could download the app and see what's available! I'd already been to the gym to look around and was very impressed."
Shiree,2025-02-22T18:27:58.000Z,5,Fab customer service,"Quick reply and quick to sort out query, all in a friendly manner 👌🏽"
Jill Freeman,2025-02-22T17:19:58.000Z,1,Couldn't get in couldn't get out and…,Couldn't get in couldn't get out and the gym was full of kids .......I will never go to any pure gym again
Annie Shakespeare-Bishop,2025-02-22T17:28:57.000Z,5,Friendly atmosphere,Friendly atmosphere. Great staff. Great kit. This rating relates to Tamworth Gym.
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
customer,2025-02-22T16:15:07.000Z,2,Not enough equipment or space to have a…,Not enough equipment or space to have a good session
customer,2025-02-22T16:09:02.000Z,5,Very easy to join online,"Very easy to join online, Very neat and clean gym ."
customer,2025-02-22T15:42:34.000Z,5,Friendly staff,"My friend mistakenly chose the home gym in Leicester, so as the 'free buddy' I cannot enter the Sheffield gym. The staff helped us to solve the problem. It was a great gym experience so I decided to join for a month during my stay in Sheffield."
customer,2025-02-22T14:46:30.000Z,5,Easy to do,"Easy to do, easy to use"
sharon robson,2025-02-22T13:46:35.000Z,5,Good gym,"Good gym, enough equipment relaxed atmosphere"
Winston Colaco,2025-02-22T13:34:06.000Z,5,Good gym reasonal in price,N/A
Damian Sinnott,2025-02-22T13:01:29.000Z,5,Quick & thorough joining process,Straightforward joining process with clear instructions. Quick and easy. Guided to app via email which was quick to install and booked onto classes straight away.
customer,2025-02-22T10:54:52.000Z,1,This is the second time this has…,This is the second time this has happened. I have no communication and they cancel the class. I only go to the gym for classes so at least the decency to tell me before I get there that there will be no class that day
S Carey,2025-02-22T10:44:18.000Z,5,Rejoining the gym,Rejoining the gym. Very easy to get going again
Lee Headings,2025-02-22T10:02:35.000Z,5,Walked in at a busy time to find there…,"Walked in at a busy time to find there was still plenty of equipment free , staff were really helpful and friendly,  so joined up really easily online"
Simon Thornton,2025-02-22T09:34:06.000Z,5,I’ve just received an email about a…,"I’ve just received an email about a temporarily out of use area at my gym at North Harbour, Portsmouth:-‘the functional area will be temporarily out of use between:9am Monday 24th February - 5pm Friday 28th February’Which is the functional area? Will I still be able to enter the gym and use the equipment? If the whole gym is closed, and I have use the Fareham or Commercial Rd Pure Gym, will I still be able to access the main door with my QR code?Regards,Simon."
Abu Sofyan,2025-02-22T09:07:54.000Z,5,On my first day,"On my first day at the gym, it was great. The gym has a complete area from the ground floor to the first floor. This gym has everything you are looking for in a gym class. The staff is nice and helpful, and the prices depend on what area you are in."
customer,2025-02-22T09:02:49.000Z,1,Can’t get in my pin doesn’t work get no…,Can’t get in my pin doesn’t work get no help from pure gym really terrible….
customer,2025-02-22T08:46:44.000Z,1,WiFi didn't work,WiFi didn't work. They closed the gym at 8pm but online said 9pm
James Hewitt,2025-02-22T08:23:45.000Z,5,24h prefect,Come to do cardio on a morning early fantastic for coming early birds and need to get it done and get out with a busy schedule...Photo and prep this 24h gym helps with me getting my abs n cardio in early mornings  boxed off
customer,2025-02-22T08:21:35.000Z,5,It was very good,It was very good
Asif Khan,2025-02-22T05:23:35.000Z,5,good gym like it,good gym like it
Hannah Lui,2025-02-22T00:59:46.000Z,3,Been with puregym for 8 years,Been with puregym for 8 years. Facilities differ depending on the gym. The thing that irks me is there is always a deal for new gym goers but puregym doesn't reward loyalty. Maybe do a half price offer or something?
customer,2025-02-21T22:59:21.000Z,5,the best gym experiece ever,the best gym experiece ever
Adam Khan,2025-02-21T22:02:38.000Z,1,Won't let me change my home gym,Won't let me change my home gym. Have to pay membership entry fee again. Frustratingly crap gym. They also have 0 customer support for something so big.
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
Kathryn Keeton,2025-02-21T21:34:36.000Z,4,The times of use for the gym the only…,The times of use for the gym the only downside is when you want to use the equipment there is normally someone sat on it but not using it and in their phone
Sithokozile Tshuma,2025-02-21T21:32:56.000Z,4,Great space,"Great space, good kit, clean toilets"
Ahnaf,2025-02-21T21:27:58.000Z,2,Staff not helpful,Staff not helpful. One staff was rude(21.02.2025 at 07.15 am).
Nick Barnard,2025-02-21T21:23:27.000Z,5,Excellent gym.,Excellent gym.
Ryan Webb,2025-02-21T21:06:28.000Z,4,Better than the rest!,"Only been a few times, every time I have been it’s been perfect. Everybody is very polite, the gym itself is very well build and maintained. Very clean website and easy to use. Would highly recommend over other gyms!"
daimon brown,2025-02-21T20:27:38.000Z,5,really straight forward,"really straight forward, easy peesy"
customer,2025-02-21T19:41:21.000Z,1,They charged me full price,"They charged me full price, when the membership was on sale."
michelle simpkin,2025-02-21T19:17:06.000Z,5,So easy to join,So easy to join and the app is fantastic can’t wait to get going 👍
Stuart Humphrey,2025-02-21T18:31:23.000Z,5,Easy no hassle,Easy no hassle
Kristina Bowers,2025-02-21T17:45:36.000Z,5,Always positive experience,"Gym is good: clean environment, friendly, and feel safe using the space. Whenever I have had questions, the team have been able to help efficiently and in a friendly manner. Thanks."
Rumi,2025-02-21T17:33:34.000Z,1,Out of date products (vending machine),I purchased a protein shake post workout and during the course of drinking it noticed there was a lot of lumps. Having checked the date the product had expired in December 2024. I am now suffering with a horrific stomach ache.
Paul Carrington,2025-02-21T17:19:32.000Z,5,Easy to join cheap no joining fee…,Easy to join cheap no joining fee perfect brilliant machines clean friendly and helpful staff
Jacqueline,2025-02-21T16:49:55.000Z,5,Stepping it Up!,A fun fitness class (Step) with a very personable trainer.A good workout overall.
Wendy  Smith,2025-02-21T16:28:25.000Z,5,Some what easy to do .,Some what easy to do .
Stephen Williams,2025-02-21T15:24:41.000Z,5,Just joined,N/A
Philip Green,2025-02-21T15:12:17.000Z,5,Very simple and straightforward to take…,Very simple and straightforward to take out my membership no problem at all
Hotmail Account,2025-02-21T14:43:37.000Z,5,Couldn't have been easier,Couldn't have been easier - joined in less then 5 mins!
Mr Adam Smith,2025-02-21T14:25:44.000Z,5,Really easy to join and great value…,Really easy to join and great value compared to other gyms!
Denis Bell,2025-02-21T13:51:15.000Z,5,I’ve been a member of PureGym for some…,"﻿I’ve been a member of PureGym for some months now, and I truely find it irresistible! The club is low-priced, and the gym has the whole lot I need. I experience snug running out here because it’s such an inclusive environment. No judgment, just support from each personnel and fellow individuals. Highly advocate it to anybody trying to get fit!"
Graeme Hunter,2025-02-21T13:05:39.000Z,4,Easy to join.,Easy to join.Didn't know there was a joining fee offer that may have been applicable
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
customer,2025-02-21T12:55:02.000Z,5,Had a great experience signing up,Had a great experience signing up
customer,2025-02-21T12:50:05.000Z,1,Difficult to log in,Difficult to log in
Terry,2025-02-21T12:35:42.000Z,5,Positive experience from the begining,"I visited the gym at Caerphilly, receiving a warm and inviting welcome from the assistant manager (Tom). I was unsure due to my age 67 and not having visited a gym for a number of years. He immediately put me at ease and took his time to walk me around explaining every aspect including the benefits of the various pieces of equipment in relation to my goal (which he enquired about at the start). He provided me with every assurance I needed, without any hint of sales pressure. I left uninterested in visiting any other gym came home and completed the simple and straightforward application online."
Wk,2025-02-26T18:23:07.000Z,1,Standards are dropping,Only started the gym 2 weeks ago and I was really enjoying it until today. It looks like the standards are dropping already. One guy came in without membership and the manager let him train in jeans/ outdoor footwear. It’s not looking good for the future. Standards should be maintained at all times. The date this happened was the 21st of February at 09.30. The PT let them in and the manager authorised it.
customer,2025-02-21T11:56:56.000Z,5,Very easy to join and no joining fees,N/A
Su,2025-02-21T10:55:52.000Z,1,Same thing,"I re joined thinking the classes would be improved , which they were temporarily however it’s the same the PT’s left & there are limited classes , I find some classes boring , the music is so uninspiring I put my own headphones on & listen to my own music at times , there are 3 excellent PT’s who r experts in their field West Brom has the same issues , the new PT’s leave & now same old issues , when I participate in a class I like to be motivated & have good upbeat music, not stop myself from falling asleep , also need qualified PT’s to run the classes , Saturday needs a class !"
Ms Charlotte Oxenham,2025-02-21T09:07:12.000Z,5,Nice gym and easy to join on line,I went to have a look at the facilities in Macclesfield then came home and found it easy to join on line.  Website was very easy to manouver around
customer,2025-02-21T08:54:17.000Z,5,Quick and easy happy already,Quick and easy online an discount code happy already.
kira anna,2025-02-21T05:12:22.000Z,4,"Small, very busy during peak","Small gym but always clean. Very busy early morning and evening, no point of going in those hours. Big minus, taking a shower after the session is an extreme experience, it's like a ice bath"
Ged Hart,2025-02-21T04:06:56.000Z,5,Good place to work out and friendly if…,Good place to work out and friendly if you have not tried it out give it a go
Gurminder Bawa,2025-02-21T02:21:17.000Z,5,Easy,"Easy, reasonable price, 24/7 gym"
Shabana Parveen,2025-02-21T02:20:15.000Z,3,Dusty waalls,I hate walking through men’s gym to access women only area plus the gym needs dusting
customer,2025-02-21T02:10:29.000Z,5,Easy to join,N/A
Nessie,2025-02-21T01:19:46.000Z,2,Full of kids standing around chatting,"Full of kids standing around chatting and not working out. The ladies always smells like poo. The equipment is too cramped in some places on gym floor. You have to stop your leg press for someone to get past. The chest press was clunky. There are no windows to open which i find strange. Standing in the pod to go in and out is disgusting especially when someone smells of sweat and is unhygienic. I can still smell it when im standing there. Lots of people dont book into the class. So there were spaces left but when i booked on and went, it was absolutely rammed. Wasnt enjoyable. Some of the classes are same format as les mills from 15 years ago. The guy doing stretch class just decided he didnt want to take it one day. But actually came stayed and chatted instead to the members (?). Then the next time i tried the stretch class, he just did half the class instead of the fullhour. I need to find a serious gym"
Michael Browne,2025-02-20T23:54:28.000Z,1,I couldn't join with my regular email,I couldn't join with my regular email! It took 3 hrs to get it activated trying different methods. And there was no one on a phone during office hrs to help. The staff member had a lot of difficulties with it as well. It wasn't until she told me to generate a new email that I was able to complete the application.
Mrs Wright,2025-02-20T22:24:43.000Z,5,Very easy to rejoin,Very easy yo rejoin after cancelling 3 years ago.
Claire Scanlon,2025-02-20T21:47:56.000Z,4,Went for a taster session with my…,Went for a taster session with my daughter. Friendly atmosphere & not too busy so could use equipment with ease.
customer,2025-02-20T21:12:11.000Z,5,Great gym,Great gym. Manager Christopher was very helpful
TIM C,2025-02-20T19:43:18.000Z,5,Excellent,Excellent. Prompt and hassle-free renewal - thanks Ashleigh.
Simon Chilvers,2025-02-20T19:02:04.000Z,5,Very straightforward and easy experience,Very straightforward and easy experience
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
Peter Relf,2025-02-20T18:56:47.000Z,5,Very easy to sign up…from start to…,Very easy to sign up…from start to finish inc getting the app 5 minutes love the 24 hours opening time
Mr S Taylor,2025-02-20T18:54:21.000Z,4,No sanitising wipes,Used this gym on a one day pass. Facilities were good and would have got 5 stars but only let down by lack of sanitising wipes and drink stations.
Janet Roberts,2025-02-20T18:37:38.000Z,4,Helpful staff member made joining easy…,Helpful staff member made joining easy can't wait to get started
customer,2025-02-20T18:31:30.000Z,5,It’s very good gym,It’s very good gym
Sharon Quinn,2025-02-20T18:16:02.000Z,5,Puregym academy,"I am on the Puregym academy doing the level 2/3 PT and gym instructor course, they have been so supportive and helpful with me and understanding, doing everything they can to help me along my journey. I also like to say big thanks to Jenna the manager at Stockport south gym for your support and help with everything would highly recommend the academy for training"
Mr Deepak Joshi,2025-02-20T18:08:05.000Z,5,Easy to join,N/A
customer,2025-02-20T17:54:27.000Z,2,Poor,"Poor , misleading I hope the gym is worth it. Plus you have no one to talk to... Being dyslexic it's not very friendly at all , and when I went in to speak to someone about joining , they said I had no choice but to do it online... So as it stands you have a poor understanding or care for people who are dyslexic...."
sonal Joshi,2025-02-20T17:43:04.000Z,5,really easy to join,N/A
Jess Heap,2025-02-20T16:53:41.000Z,5,I was a member of TheGym's Bournemouth…,"I was a member of TheGym's Bournemouth branch for more than two years; my only complaint was that they lost the parking contract with NCP. It's only a shame parking is hard in that side of town, but otherwise, thumbs up for wonderful service 👍."
Richard,2025-02-20T15:29:07.000Z,5,Really good so far,N/A
Elijah,2025-02-20T15:14:44.000Z,5,I  didn't experience any problems…,I  didn't experience any problems during my joining session.
R. L,2025-02-20T15:12:23.000Z,5,Great space for a good workout,Great space for a good workout! Loads of equipment and friendly staff. Clean and comfortable and very affordable too. Would highly recommend!
customer,2025-02-20T14:07:31.000Z,1,You guys should make your day pass…,You guys should make your day pass within 24 hours not just for that specific day
Dave Westlake,2025-02-20T13:06:22.000Z,5,Very easy to join 👌,Very easy to join 👌
customer,2025-02-20T12:24:48.000Z,5,Easy to join comes highly recommended.,Easy to join comes highly recommended.
Paula,2025-02-20T11:38:06.000Z,3,Starting offer,I was approach by 2 lovely ladies in the high street who told me about the new gym opening in Beckenham. They were really enthusiastic. They said the opening offer was 12 months at 14.99 as it was a new site.  And that it will be opening in March When I went to join it was 6 months at 14.99 not 12 as advised. I was very disappointed at this. I have joined with this but please ensure the information is correct
Unwins11,2025-02-20T11:37:50.000Z,4,My morning workout,The gym has lots of space and plenty of updated equipment.The down side is the changing rooms (floor always looks dirty in the gents changing rooms black mould in the showers on the grout. The showered are never clean even first thing).In the gym all the high areas is like a scene from Halloween the amount of cobwebs and dust. Some serious high level cleaning needed.
Corey,2025-02-20T11:35:59.000Z,3,New Gym Possibly,I decided to go with a mate and check out his PureGym before joining. The day pass was £12 and I feel like that's quite a high amount to pay. I would like to join PureGym and feel they should offer a discounted price for new members who sign up directly after a day pass. The day pass amount could be deducted from the sign up fee as an incentive for new members.
Diane  Bennett,2025-02-20T10:33:51.000Z,3,I do not like the fact that I am unable…,"I do not like the fact that I am unable to talk to a human being. I need to make an appointment for an induction due to my health, but all done on line and I cannot get access to.."
krzysztof bubienczyk,2025-02-20T08:18:57.000Z,1,Constantly no hot water,Constantly no hot waterLook like they trying to save money this way
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
Peter,2025-02-20T05:25:10.000Z,5,The staff,"The staff. I don’t have a smart phone, they were very helpful."
richard brennan .,2025-02-20T02:44:06.000Z,3,It said it was free to join yet you…,It said it was free to join yet you have charged me £15 to join and the code for free membership didn't work.
Maryam Beygi,2025-02-20T01:58:00.000Z,4,Thanks for forming the club in this place,N/A
customer,2025-02-20T01:40:08.000Z,3,"Great gym, poor shower hygiene bad smell","Showers need attention asap in Feltham, what is that smell?"
customer,2025-02-20T00:52:25.000Z,5,Excellent service and support!,N/A
Mr Desmond Edwards,2025-02-20T00:29:04.000Z,1,Unable to access gym,"I have only just joined this gym yesterday and on my first visit today I can’t access the gym as the pin isn’t working, I find this very frustrating for my first visit and there is no one to speak to even more frustrating!!"
Miss chrissie wale,2025-02-20T00:09:59.000Z,5,I’m so happy and can’t wait to get back…,I’m so happy and can’t wait to get back into the gym. Everyone has been very welcoming and will tell all how very professional my experience has been so far
Ada,2025-02-19T23:16:07.000Z,5,The team was friendly and professional,The team was friendly and professional
AM01,2025-02-19T22:11:00.000Z,5,Easy to join on a day pass & book onto…,Easy to join on a day pass & book onto classes.
MR. DAVID  LEE,2025-02-19T21:30:40.000Z,3,Once I had logged in,"Once I had logged in, it told me to send a email to the gym manager. So I sent a message to the gym today but found I couldn't get of that page without logging out. I tried downloading the app but that takes me to the same page"
customer,2025-02-19T21:26:20.000Z,5,Easy to join,N/A
customer,2025-02-19T21:23:42.000Z,5,This is gym the best!!!,N/A
Joe Breckenridge,2025-02-19T21:21:16.000Z,5,"Great gym, great staff","Top gym, great staff!Gyms always kept in good condition and the staff are super friendly. Highly recommend 💪"
Halema patel,2025-02-19T20:37:26.000Z,4,Lack of machines in women section,"Love the womens section but only complaint is there arent enough machines there, would be 5 star otherwise"
David Killpack,2025-02-19T17:31:58.000Z,5,Good all round but awful showers.,Good all round but awful showers.
Oryan Dockery,2025-02-19T17:25:54.000Z,5,Gymy,Very good experience
herbert duffus,2025-02-19T17:22:11.000Z,5,Straight forward and easy to follow,Straight forward and easy to follow. Explanation of the membership easy to understand.
Danicus,2025-02-19T16:42:39.000Z,1,The sign up prossess for this gym is…,"The sign up prossess for this gym is unbelievably bad, the most non usee friendly website and app I've ever used for a subscription service, the information it gives is also extremely confusing, almost like it deliberately hides certain information from you, like for example, no where does it say in the sign up prossess you can't add bolt ons to an off peak membership but you can't, only when you've paid does it then say you need to upgrade but guess what? You can't upgrade an off peak to a core membership, you need to speak to a member of staff... How do you do that? Nowhere on the site is there an option to contact support, no online support chat? The higher ups need wake up and fix this awful sign up experienceOh and there's not even a way to cancel through the website or app, you just have to manually cancel the direct debit, I have no idea how a company in this age can make such a shoddy subscription service, especially a business as popular and established as pure gym."
Nicholas,2025-02-19T16:21:01.000Z,1,The gym is a joke they banned me for…,"The gym is a joke they banned me for training my partner , due to them not liking that i can train people better than themselves. There personal trainers are a joke that dont what there doing. Taking clients money  and not giving them what the pay for .   Stay Away from there !!!!"
customer,2025-02-19T15:50:28.000Z,5,really nice space all people were nice…,really nice space all people were nice and respectful as well
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
Raja,2025-02-19T15:39:53.000Z,1,Old rusty leg machines worn and in need…,Old rusty leg machines worn and in need of repair not enough equipment went to train on lunch had to wait so unable to complete workout large cardio kit not enough leg equipment no seated leg curl
customer,2025-02-19T15:13:22.000Z,4,it was easy to do,N/A
Linda Burrows,2025-02-19T14:20:24.000Z,5,Recommend PureGym,"PureGym offers everything that is needed to support fitness, for all ages and abilities. Staff are approachable for help with equipment and support. Easy access to personal trainers to help support your fitness  journey"
paul currie,2025-02-19T14:10:36.000Z,5,Everything nice and easy,"Everything nice and easy, no problems."
customer,2025-02-19T13:57:07.000Z,1,Poor site,Poor site. Did not accept free joining fee code which was advertised on your website
Don Clement S-Ebako,2025-02-19T13:36:42.000Z,3,The place is got deep B O,N/A
anonymous,2025-02-19T12:41:15.000Z,5,Very good joining experience,Very easy to follow steps and also liked the way I could book for an induction straight away
Abdul Rehman Muzawar Sheikh,2025-02-19T11:44:07.000Z,4,Great Experience and good equipment…,Great Experience and good equipment quality
Laura,2025-02-19T09:51:49.000Z,5,Straight forward process,The process was very straight forward and easy to follow. Lots of information was provided including an introduction video which was really helpful.
Unimpressed,2025-02-19T08:57:24.000Z,1,PIN number didn’t work! Equipment very dirty!,"I managed to sign up for a day pass but the PIN number didn’t work. There was no one to help. I had to download the app to get the QR code and use that to sign in. I just got the day pass to accompany my daughter for a morning session, but I’m very glad to get back to my own gym. It just feels like Pure Gym is all about extracting the maximum money for the smallest effort. Machines are ancient and dirty too! Do not recommend :("
customer,2025-02-19T01:53:31.000Z,5,This evening visit was really fantastic…,This evening visit was really fantastic as I've not been able to go to the for the last few weeks. The showers being updated was a nice surprise.
AJ,2025-02-19T00:34:22.000Z,5,Quick easy and simple A+++,N/A
kirsty fallows,2025-02-19T00:09:45.000Z,5,I had a great experience,I had a great experience. It was a good environment and most of the equipment was free
Mr Phil Mirfin,2025-02-18T23:40:11.000Z,4,Lots of mirrors staff very helpful,Lots of mirrors staff very helpful
AD,2025-02-18T23:13:52.000Z,1,First time at PureGym Colchester,"First time at PureGym Colchester. I try to use running machine. Two available but surprised not working, no staff available to help. I cancelled the membership after that."
John,2025-02-18T23:10:25.000Z,5,Good service,"Just good service, no complaints"
Davie sazuze,2025-02-18T22:52:26.000Z,5,Amazing 👏 place to be,Amazing 👏 place to be
Josh,2025-02-18T22:07:42.000Z,5,Great facilities,"Easy to join, great information, wonderful facilities"
Chukwuebuka Obi,2025-02-18T20:24:24.000Z,4,It's a nice and wonderful place to…,It's a nice and wonderful place to experience
Customer D Ward,2025-02-18T20:15:35.000Z,5,Easy to complete online registration,Easy to complete online registration
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
Alison,2025-02-18T20:11:51.000Z,5,Easy to navigate and read,Easy to navigate and read. Very pleased to get the code for £10 reduction
Frank Soule,2025-02-18T19:54:50.000Z,1,Terrible dirty gym,Terrible dirty gym. Staff are no where to be seen.One of the trainers Prakaash has tried to speak tomy girl on many occasians and she has nowterminated her membership. Inappropriatebehaviour seems normal from this trainer.Outrageous behaviour witha management whodoes not care! AVOID AT ALL COSTS AND GONEXT D0OR TO A LEISURE CENTRE.
Brian Bishop,2025-02-18T18:59:24.000Z,5,Very easy on-line joining process,Very easy on-line joining process. No issues and access PIN was immediately delivered.
customer,2025-02-18T18:41:27.000Z,5,Brilliant place to be everyone friendly…,Brilliant place to be everyone friendly and workers come up to u and great u immediately
Jim Graham,2025-02-18T18:15:11.000Z,5,Great gym with all the equipment…,Great gym with all the equipment required.
Alan McCabe,2025-02-18T18:02:52.000Z,5,I would highly recommend PureGym to anyone,I would recommend PureGym as the best fitness centre in Glasgow. prices are very reasonable and the staff are warm and friendly. The gym is kept clean at all times and the equipment is well maintained. There are ample pieces of kit and a great friendly atmosphere
Karime Elnagar,2025-02-18T17:26:57.000Z,5,Stephan is an excellent manager who…,Stephan is an excellent manager who provided a free blood pressure check. The gym is always clean and I highly recommend west bridgford in Nottingham.
DARAN,2025-02-18T16:27:40.000Z,5,easy setup to new gym,"easy setup to new gym, and easy to use app"
jade field,2025-02-18T15:53:37.000Z,5,The staff made me feel so welcome,"The staff made me feel so welcome. thanks Amy, honestly changed my whole experience of the place. Thank you so much for showing me around and explaining machines to me"
Mr Lightfoot,2025-02-18T15:42:15.000Z,5,A great flexible way to keep fit.,N/A
Ashley plester,2025-02-18T15:09:25.000Z,5,Easy to join and all the info you need…,Easy to join and all the info you need regarding accessing the gym and using the equipment is very clear on the PureGym app.
customer,2025-02-18T15:06:30.000Z,5,Get yourself to Sevenoaks!,"Fantastic equipment, really friendly staff and clean facilities"
Jo Clarke,2025-02-18T13:51:24.000Z,5,Very straightforward and stress free,Very straightforward
Anthony Trainer,2025-02-18T13:43:22.000Z,1,Underhanded cancel culture,"I was a long standing member of over a decade at puregym paisley until i received an email informing me that a member of staff had made a complaint about me and my membership and subsequent access to the gym was being suspended while an investigation was carried out concerning these ""incidents"". Days later i recieved another email stating that my account was permanently suspended. When i asked for an explanation of what i was suposed to have done wrong i was told, by the then manager, that they had dealt with the "" incidents"" under the ""safe space"" policy recently added to the updated terms and conditions at puregym and that to preserve this safe space concept they couldn't divulge any information on what i was supposed to have done to ""who"" or what. I still dont know what i done wrong. The ""safe ""space policy was, in my view, used to conduct a kangaroo court in my absence that denied me the right to face my complainer and refused me the basic right to defend myself. This type of policy is a "" cancel culture"" tool that is allowing gym employees to ""police"" the paying gym membership any way that suits them. I sent emails to puregym head office and was refered back to the gym manager who refused to let me in the door and wouldn't come out of his office and sent a girl out wearing a ""trainee"" badge on her shirt to tell me that he wasn't in. I sat in the coffee house directly across from the gym and saw the manager 5 minutes later sparring with a female gym member.Most of the instructors at paisley would fail a drugs test, especially at weekends. The air conditioning is reduced to a damaging level at all times.all of the televisions are kept off. The staff are allowed to vape inside, and smoke at the entrance to the gym. The male members think that they alone have the exclusive rights to pursue female gym members romantically. The instructors are unapproachable for help and advice unless you are paying them as a PT. I have witnessed all of this at paisley. I have intervened many times when people where using the equipment wrong and stopping people from injuring themselves when so called instructors have deliberately looked the other way. They have no interest i helping people or giving advice unless you are paying them."
Scott Walker,2025-02-18T13:10:24.000Z,4,Easy to down load app instructions good,N/A
Matt Lucas,2025-02-18T12:40:53.000Z,1,I joined pure gym on the,"I joined pure gym on the, off peek membership, I then tried to upgrade the membership, using my blue light card. As per the website I’ll have to rejoin and take out a new membership for this."
Kate Hoxey,2025-02-18T12:38:21.000Z,5,Easy to join.,N/A
Asim Amin,2025-02-18T12:16:23.000Z,5,Very Economical,"Very Economical, Best equipments, 24 hours open, Washing facility , What else someone need?"
Sarah Smith,2025-02-26T17:22:33.000Z,5,Easy to join- classes are great!,Easy to join. Staff very friendly and helpful. Too soon to say what it's like attending as I'm a complete gym novice and nervous.Just attended first Zumba class and it was excellent! 👍 Now to get into a routine in the actual gym. That's the hard part and knowing where to start!
Elizabeth Belton,2025-02-18T12:12:30.000Z,5,The gym was very clean and tidy with…,The gym was very clean and tidy with plenty of space between equipment. Easy to access and very convenient.
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
Nathan. Turton,2025-02-18T10:24:04.000Z,3,The lack of equipment is insane makes…,The lack of equipment is insane makes it almost in impossible to have a decent workout when there’s 5 kids to one machine
